timestamp,region,region_name,fuel_type,generation_mwh
2024-01-02T00,PJM,"PJM Interconnection, LLC",Nuclear,32626
2024-01-02T00,PJM,"PJM Interconnection, LLC",Petroleum,214
2024-01-02T00,PJM,"PJM Interconnection, LLC",Other,1072
2024-01-02T00,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-02T00,PJM,"PJM Interconnection, LLC",Hydro,4084
2024-01-02T00,PJM,"PJM Interconnection, LLC",Wind,2123
2024-01-02T01,PJM,"PJM Interconnection, LLC",Coal,15758
2024-01-02T01,PJM,"PJM Interconnection, LLC",Natural Gas,44869
2024-01-02T01,PJM,"PJM Interconnection, LLC",Nuclear,32524
2024-01-02T01,PJM,"PJM Interconnection, LLC",Petroleum,214
2024-01-02T01,PJM,"PJM Interconnection, LLC",Other,1061
2024-01-02T01,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-02T01,PJM,"PJM Interconnection, LLC",Hydro,3117
2024-01-02T01,PJM,"PJM Interconnection, LLC",Wind,2220
2024-01-02T02,PJM,"PJM Interconnection, LLC",Coal,15854
2024-01-02T02,PJM,"PJM Interconnection, LLC",Natural Gas,44080
2024-01-02T02,PJM,"PJM Interconnection, LLC",Nuclear,32528
2024-01-02T02,PJM,"PJM Interconnection, LLC",Petroleum,218
2024-01-02T02,PJM,"PJM Interconnection, LLC",Other,1041
2024-01-02T02,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-02T02,PJM,"PJM Interconnection, LLC",Hydro,2267
2024-01-02T02,PJM,"PJM Interconnection, LLC",Wind,2357
2024-01-02T03,PJM,"PJM Interconnection, LLC",Coal,15810
2024-01-02T03,PJM,"PJM Interconnection, LLC",Natural Gas,42629
2024-01-02T03,PJM,"PJM Interconnection, LLC",Nuclear,32523
2024-01-02T03,PJM,"PJM Interconnection, LLC",Petroleum,216
2024-01-02T03,PJM,"PJM Interconnection, LLC",Other,1052
2024-01-02T03,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-02T03,PJM,"PJM Interconnection, LLC",Hydro,1077
2024-01-02T03,PJM,"PJM Interconnection, LLC",Wind,2410
2024-01-02T04,PJM,"PJM Interconnection, LLC",Coal,15432
2024-01-02T04,PJM,"PJM Interconnection, LLC",Natural Gas,40656
2024-01-02T04,PJM,"PJM Interconnection, LLC",Nuclear,32519
2024-01-02T04,PJM,"PJM Interconnection, LLC",Petroleum,220
2024-01-02T04,PJM,"PJM Interconnection, LLC",Other,1050
2024-01-02T04,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-02T04,PJM,"PJM Interconnection, LLC",Hydro,1087
2024-01-02T04,PJM,"PJM Interconnection, LLC",Wind,2918
2024-01-02T05,PJM,"PJM Interconnection, LLC",Coal,13655
2024-01-02T05,PJM,"PJM Interconnection, LLC",Natural Gas,37803
2024-01-02T05,PJM,"PJM Interconnection, LLC",Nuclear,33713
2024-01-02T05,PJM,"PJM Interconnection, LLC",Petroleum,222
2024-01-02T05,PJM,"PJM Interconnection, LLC",Other,1050
2024-01-02T05,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-02T05,PJM,"PJM Interconnection, LLC",Hydro,1501
2024-01-02T05,PJM,"PJM Interconnection, LLC",Wind,4010
2024-01-02T06,PJM,"PJM Interconnection, LLC",Coal,13496
2024-01-02T06,PJM,"PJM Interconnection, LLC",Natural Gas,37683
2024-01-02T06,PJM,"PJM Interconnection, LLC",Nuclear,32532
2024-01-02T06,PJM,"PJM Interconnection, LLC",Petroleum,221
2024-01-02T06,PJM,"PJM Interconnection, LLC",Other,1043
2024-01-02T06,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-02T06,PJM,"PJM Interconnection, LLC",Hydro,1028
2024-01-02T06,PJM,"PJM Interconnection, LLC",Wind,3947
